,start_station_id,lat,lon,name,description
108,487,59.926929,10.776971,Carl Berners plass nord,ved Hasleveien
109,488,59.93507,10.76915,Torshovparken vest,langs Per Kvibergs gate
110,489,59.91598309274519,10.75155119076095,Torggata,ved Bernt Ankers gate
111,491,59.91366109486603,10.75729364846211,Brugata,ved Chr Kroghs gate
112,492,59.9131792,10.7607798,Goethe Institut,ved Grønland
113,493,59.9243639,10.7615858,Sofienbergparken nordvest,langs Helgesens Gate
114,494,59.9108469,10.7303766,Rådhusbrygge 4,ved Nesoddbåten
115,495,59.91351552854147,10.757334670552268,Vaterlandsparken,langs Brugata
116,496,59.937957367051965,10.719488529430388,Fysikkbygningen,ved Sem Sælands vei
117,497,59.919252,10.774712,Sirkustomta,langs Finnmarksgata
118,498,59.92763407981436,10.799249379762283,HasleLinje,ved Anders Winsvolds vei
119,499,59.925488,10.746058,Bjerregaards gate,ovenfor Fredrikke Qvams gate
120,500,59.9172794,10.7581553,Anker Hotel,langs Storgata
121,501,59.935995,10.765413,Krebs' gate,ved Vogts gate
122,502,59.9360307,10.7364516,Ullevål sykehus,langs Kirkeveien
123,503,59.92760586837719,10.76598469881135,Fagerheimgata,ved Dælenenga busstopp
124,505,59.93215,10.723478,Marienlystparken,langs Kirkeveien
125,506,59.92012811804052,10.768875408563598,Botanisk Hage vest,ved Blytts gate
126,507,59.919179,10.764162,Jens Bjelkes gate,langs Trondheimsveien
127,508,59.92985724219502,10.71456623677068,Majorstuen T-bane,ved passasje mot Sørkedalsveien
128,509,59.912711,10.735595,Kjeld Stubs gate,ved hjørnet Tordenskiolds gate
129,511,59.915088,10.7222803,Henrik Ibsens gate,ved Parkveien
130,512,59.9131891,10.7897605,Ensjø T-bane,langs Ensjøveien
131,513,59.9273747,10.7960147,Bøkkerveien,ved HasleLinje
132,514,59.9212063,10.7699892,Sofienberggata,ved Sars gate
133,515,59.912918,10.732121,Olav Vs gate,Nord for Kronprinsesse Märthas plass
134,516,59.922839,10.775658,Finnmarksgata,ved Telavåggata
135,517,59.9433939,10.7482848,Tåsenløkka,langs Uelands gate
136,518,59.9246852,10.7395045,Ullevålsveien,ved taxi stoppen
137,519,59.91857814333677,10.703899530059402,Thomas Heftyes plass,ved Bygdøy allé
138,521,59.9186359,10.7523939,Jess Carlsens gate,ved Hausmanns gate
139,522,59.9123469,10.7638147,Mandalls gate,ved Grønlandsleiret
140,523,59.9115945,10.7617736,Tøyenbekken,ved Rubina Ranas gate
141,524,59.9330870371029,10.703967938028702,Volvat,langs Sørkedalsveien
142,525,59.937205,10.7605813,Myraløkka Øst,ved Bentsenbrua
143,526,59.9138973,10.7423101,Lille Grensen,Ved Akersgata
144,527,59.9123341,10.752292,Biskop Gunnerus' gate,ved Oslo City
145,528,59.913245,10.743669,Nedre Slottsgate,ved Grensen
146,529,59.9327726,10.7114661,Friggfeltet,langs Slemdalsveien
147,530,59.9193095,10.7343051,Holbergs Plass,ved Welhavens gate
148,531,59.935947,10.681138,Monolittveien,like ved Smestaddammen
149,532,59.90918420865812,10.81431433498766,Brynseng T-bane,Ved Østensjøveien
150,533,59.915262,10.7253157,Sørvest for Slottsparken,langs Henrik Ibsens gate
151,534,59.9102277,10.7208788,Filipstadveien,langs busslommen
152,535,59.9200421,10.726634,Uranienborgveien,vest for Slottsparken
153,536,59.9363277,10.7054333,Diakonhjemmet,Diakonveien nær rundkjøring
154,537,59.9179676629428,10.738628884264756,St. Olavs gate,ved Pilestredet
155,538,59.9147887,10.7537068,Bernt Ankers gate,ved Storgata
156,540,59.93363159074286,10.769118139881124,Lilleborgbanen,langs Ole Bulls gate
157,541,59.9080552,10.7479977,Langkaia,langs Rådhusgata
158,542,59.9224256,10.7554274,Grünerhagen Nord,ved Sofienberggata
159,543,59.91381587564694,10.798093360118871,Fyrstikktorget,ved Karoline Kristiansens vei
160,545,59.9119691,10.7478583,Arkaden Sør,langs Dronningens gate
161,547,59.9112227,10.7481976,Skippergata,ved Karl Johans gate
162,548,59.91731888534716,10.716909039918278,Colbjørnsens gate,ved Skovveien
163,549,59.91382393242077,10.745704482209018,Linaaes gate,langs Møllergata
164,550,59.9261462,10.7310355,Thereses gate,ved Bislett trikkestopp
165,551,59.922425,10.758182,Olaf Ryes plass,langs Sofienberggata
166,552,59.90800465532893,10.7625700380287,Trelastgata,ved Nordenga bru
167,553,59.9139786,10.7474667,Skråninga,ved Torggata
168,554,59.952659,10.751165,Tåsen Senter,ved Rolf Wickstrøms vei
169,555,59.9337026,10.7519299,Griffenfeldts gate,ved Colletts gate
170,556,59.9262242,10.7296246,Pilestredet,ved Sporveisgata
171,557,59.9141971,10.7428828,Akersgata,ved Grensen
172,558,59.910974,10.7277001,Dokkveien,ved Støperigata
